feature,importance
rate_spread,0.6288294172065149
KODEX200_vol5,0.5218608530443625
삼성전자_vol20,0.5097851653261462
KODEX채권_mom5,0.495128837009908
KODEX200,0.4603155406016657
NAVER_mom5,0.4360525544657862
vix_change,0.3628205447293465
삼성전자,0.3182714805056047
SK하이닉스_vol20,0.2909711081238184
NAVER_vol20,0.28239286703138855
NAVER,0.2689191782842757
VIX,0.2585783617792354
SK하이닉스_vol5,0.244676706166209
KODEX채권,0.2435418325205265
KODEX200_vol20,0.23379572491535777
KODEX채권_vol5,0.22846635444978486
삼성전자_vol5,0.22212187819076853
삼성전자_mom5,0.20613296917774598
KODEX200_mom5,0.2045589349028268
port_mom5,0.17144501171711507
NAVER_vol5,0.16574462703042514
SK하이닉스_mom5,0.15061306601431526
KODEX채권_vol20,0.14206573297901262
port_kurt20,0.1384640385336565
vix_ma5,0.13779478404054418
port_vol5,0.12041921404808796
SK하이닉스,0.10312880127225131
국고채3년,0.05461103349734869
port_vol20,0.04538134252410234
port_skew20,0.02004407644119648
기준금리,0.0
