날짜,삼성전자,SK하이닉스,NAVER,KODEX200,KODEX채권,기준금리,국고채3년,VIX
2021-01-05,0.010843373493975905,0.03571428571428581,-0.0017064846416382506,0.015099425176710035,0.0013741052933817777,0.5,0.936,25.34
2021-01-06,-0.020262216924910592,0.003831417624521105,-0.008547008547008517,-0.009781077273219863,-0.0005734649571949024,0.5,0.953,25.07
2021-01-07,0.008515815085158085,0.026717557251908497,-0.0017241379310344307,0.02331244698607282,-0.0002049264314111232,0.5,0.964,22.37
2021-01-08,0.07117008443908324,0.026022304832713727,0.07772020725388606,0.044252520120858785,-0.00037919160449295664,0.5,0.978,21.56
2021-01-11,0.024774774774774855,-0.036231884057971064,-0.009615384615384581,0.002534951605469349,0.0009124555306083693,0.5,0.969,24.08
2021-01-12,-0.00439560439560438,-0.03007518796992481,-0.016181229773462813,-0.00773887058462952,-0.0008296800098331891,0.5,0.976,23.33
2021-01-13,-0.009933774834437137,0.03100775193798455,0.03289473684210531,0.0055598455598455665,0.00048181902057464754,0.5,0.979,22.21
2021-01-14,0.0,-0.018796992481203034,0.01273885350318471,-0.0012030922029385716,-0.0004303543250609998,0.5,0.988,23.25
2021-01-15,-0.018952062430323324,-0.02298850574712641,-0.037735849056603765,-0.022014915810246283,0.0006868131868131844,0.5,0.973,24.34
2021-01-18,-0.03409090909090906,0.019607843137254832,-0.017973856209150374,-0.023139412997903563,0.00042000020487820144,0.5,0.968,24.34
2021-01-19,0.0235294117647058,0.0038461538461538325,0.024958402662229595,0.026262843039944306,0.0,0.5,0.974,23.24
2021-01-20,0.0022988505747125743,0.0,0.0,0.005776871601840261,-0.00037886545156662343,0.5,0.976,21.58
2021-01-21,0.010321100917431103,0.00766283524904221,0.04707792207792205,0.014658107440808754,0.0005838787990535277,0.5,0.971,21.32
2021-01-22,-0.014755959137343955,-0.02281368821292773,0.06511627906976747,-0.006915806459875551,-0.0009828009828010131,0.5,0.993,21.91
2021-01-25,0.02995391705069128,0.05058365758754868,0.01601164483260553,0.023832245750689873,-0.00042015084440072403,0.5,1.006,23.19
2021-01-26,-0.030201342281879207,-0.0444444444444444,-0.02005730659025784,-0.02720745685854642,4.1007555642069704e-05,0.5,1.007,23.02
2021-01-27,-0.012687427912341454,-0.003875968992248069,-0.0014619883040936088,-0.003340670723811945,0.0003280469927318119,0.5,0.982,37.21
2021-01-28,-0.02219626168224298,-0.04280155642023342,0.039531478770131745,-0.018422283427739994,0.00045091669314101246,0.5,0.977,30.21
2021-01-29,-0.020310633213859064,-0.004065040650406471,-0.033802816901408406,-0.022526934378060748,0.0003277916064861053,0.5,0.971,33.09
2021-02-01,0.012195121951219523,0.020408163265306145,0.014577259475218707,0.02496885663218329,-0.0007270493062311312,0.5,0.994,30.24
2021-02-02,0.01686746987951815,0.040000000000000036,0.04166666666666674,0.014822447685478801,0.0003996556812593255,0.5,0.98,25.56
2021-02-03,0.0023696682464455776,0.0,0.022068965517241468,0.008331380665989707,0.0005019308974318903,0.5,0.978,22.91
2021-02-04,-0.024822695035460973,-0.038461538461538436,-0.03373819163292846,-0.01670582767435258,8.190679007280544e-05,0.5,0.984,21.77
2021-02-05,0.0121212121212122,0.020000000000000018,0.012569832402234526,0.012761934772333339,-8.190008190012144e-05,0.5,0.982,20.87
2021-02-08,-0.005988023952095856,-0.019607843137254943,-0.01379310344827589,-0.009904584111180226,8.190679007280544e-05,0.5,1.001,21.24
2021-02-09,-0.0036144578313253017,0.0040000000000000036,0.002797202797202747,-0.003325826219033101,0.00031736281736272076,0.5,0.99,21.63
2021-02-10,-0.013301088270858519,0.003984063745019917,0.02231520223152028,0.006989148427441583,-0.0003581991792122041,0.5,0.995,21.99
